model,condition,prompt_id,difficulty,n_reps,FV_mean,FV_ci95,VS_mean,VS_ci95,PA_mean,PA_ci95,EC_mean,EC_ci95,CSS_mean,iter_mean,total_tokens_mean,cost_usd_mean,css_per_1k_tokens
gpt-5.4-mini,solo,state_machine,L3,2,1.0,0.0,1.0,0.0,0.9816,0.004,1.0,0.0,0.9954,1.0,700.0,0.002368,1.421
gpt-5.4-mini,solo,tmr_vote,L3,2,0.5,0.98,1.0,0.0,0.9898,0.004,1.0,0.0,0.8224,1.0,672.0,0.002154,1.2239
qwen3-coder,hpema,bitfield_extract,L3,3,0.0,0.0,0.7222,0.5444,0.9836,0.0046,1.0,0.0,0.5626,3.0,70530.0,0.0,0.008
qwen3-coder,hpema,circular_buffer,L2,3,0.0,0.0,1.0,0.0,0.9822,0.0054,1.0,0.0,0.6456,3.0,67073.0,0.0,0.0096
qwen3-coder,hpema,clamp,L1,3,1.0,0.0,0.4715,0.5324,0.9863,0.0027,1.0,0.0,0.838,2.67,15684.0,0.0,0.0534
qwen3-coder,hpema,crc16_ccitt,L3,3,0.0,0.0,1.0,0.0,0.9822,0.0027,1.0,0.0,0.6456,3.0,86628.0,0.0,0.0075
qwen3-coder,hpema,in_range,L1,3,1.0,0.0,1.0,0.0,0.9877,0.0,0.3333,0.6533,0.9303,3.0,16473.0,0.0,0.0565
qwen3-coder,hpema,int_moving_avg,L2,3,0.0,0.0,1.0,0.0,0.9836,0.0,0.0,0.0,0.5459,3.0,69325.0,0.0,0.0079
qwen3-coder,hpema,is_zero,L1,3,1.0,0.0,1.0,0.0,0.9877,0.0,1.0,0.0,0.9969,2.33,12382.0,0.0,0.0805
qwen3-coder,hpema,rate_limiter,L2,3,1.0,0.0,1.0,0.0,0.9836,0.0,0.9583,0.0817,0.9917,3.0,36004.0,0.0,0.0275
qwen3-coder,hpema,safe_divide,L1,3,1.0,0.0,1.0,0.0,0.9863,0.0027,0.8571,0.1616,0.9823,3.0,19925.0,0.0,0.0493
qwen3-coder,hpema,safe_negate,L1,3,1.0,0.0,1.0,0.0,0.9877,0.0,0.9444,0.1089,0.9914,2.33,14114.0,0.0,0.0702
qwen3-coder,hpema,saturating_add,L2,3,0.6667,0.6533,0.7172,0.5544,0.985,0.0027,1.0,0.0,0.7947,2.67,32461.0,0.0,0.0245
